,edit_history_tweet_ids,id,text,withheld
36,['1602486468068446210'],1602486468068446210,"For a limited time, you can pick up ice cream pints from Salt &amp; Straw’s Dwanta Claus Pack collection. 🍦 

#ICYMI: Yes, You Need Dwayne “The Rock” Johnson-Inspired Ice Cream. Here’s Where to Get It. https://t.co/qbLh3CdAyv https://t.co/tIj6vlSv1A",
37,['1602484205660913664'],1602484205660913664,I really miss Salt &amp; Straw Ice Cream.,
38,['1602373069527388160'],1602373069527388160,When i'm in weho to get salt &amp; straw but everyone else wants to go to revolver https://t.co/8WuDzOtMHU,
39,['1602310403114926080'],1602310403114926080,Publicity Grabbing Product Idea from Salt &amp; Straw https://t.co/hd4fVjtQeV,
40,['1602303535240060930'],1602303535240060930,"Salt &amp; Straw Dog Collar - Salt &amp; Straw - Seattle #FoodSpot #Liquor #Drinks https://t.co/234W6ewMi1 . #FoodSpot is the go-to app for food discovery near you, featuring dish name, images, ingredients, description, reviews, etc. Available in Android &amp; iOS app stores.",
41,['1602244599493320704'],1602244599493320704,RT @TheRock: Here comes #DwantaClaus 🎅🏾 and the world’s best ice cream @SaltandStraw auctioning off incredible custom freezers FULL OF OUR…,
42,['1602159781825122304'],1602159781825122304,i went and then also stopped by salt &amp; straw i feel good about my life atm https://t.co/5OalRBHVcu https://t.co/F3uPsvv81G,
43,['1602157866273497088'],1602157866273497088,Salt &amp; Straw boysenberry sherbet so good omfg,
44,['1602117161564397569'],1602117161564397569,"RT @wweek: After artisanal ice cream shop Salt &amp; Straw complained about street conditions on Portland’s Central Eastside, Mayor Ted Wheeler…",
45,['1602116599817064448'],1602116599817064448,"@BarryRoland19 @MRossG199 Yeah, the Grove is so underwhelming.

Bay Cities is the best

Salt &amp; Straw ice cream on Abbot Kinney is 🔥

Elephante is cool for a night out",
46,['1602068217555738624'],1602068217555738624,"RT @wweek: After artisanal ice cream shop Salt &amp; Straw complained about street conditions on Portland’s Central Eastside, Mayor Ted Wheeler…",
47,['1602034777926029312'],1602034777926029312,"@wweek I don't know. But, on the way, stop by Salt &amp; Straw and buy the poor bastards an icecream. That's what it's about, right? As the meme predicted...""it's getting real in the Whole Foods parking lot"".  https://t.co/5huqmA4SmJ",
48,['1602007811071909889'],1602007811071909889,"After artisanal ice cream shop Salt &amp; Straw complained about street conditions on Portland’s Central Eastside, Mayor Ted Wheeler wants to forcibly commit more people with mental illness. But where will he send them?
https://t.co/zr5OchGu13",
49,['1601758839166173187'],1601758839166173187,"""I know everyone in this room has had similar conversations within your organizations.""  https://t.co/sHzHrtjWWC",
50,['1601749923737014272'],1601749923737014272,@doinkpatrol @grovymango Y’all need to go to Salt &amp; Straw. Usually some salty flavors.,
51,['1601699117826469889'],1601699117826469889,RT @Silas_Kade: Thanksgiving episode is out today! Can Salt &amp; Straw's unhinged ice creams help me love the worst holiday? https://t.co/Wu2n…,
52,['1601620300277624834'],1601620300277624834,"for those interested, two things have unlocked ice cream making for me. 1) the kitchenaid frozen bowl. 2) this base from salt &amp; straw. it’s creamy without having to deal with eggs: https://t.co/KFOifGsyEU",
53,['1601578758636445696'],1601578758636445696,"Honey Lavender - Salt &amp; Straw - Seattle #FoodSpot #Liquor #Drinks https://t.co/rbGbfgJ2Vu . #FoodSpot is the go-to app for food discovery near you, featuring dish name, images, ingredients, description, reviews, etc. Available in Android &amp; iOS app stores.",
54,['1601513484415799296'],1601513484415799296,RT @TheRock: Here comes #DwantaClaus 🎅🏾 and the world’s best ice cream @SaltandStraw auctioning off incredible custom freezers FULL OF OUR…,
55,['1601510384317255681'],1601510384317255681,Oregon's Salt &amp; Straw recipe boysenberry and oatmilk sorbetto (vegan). https://t.co/GXuudKHSPF,
56,['1601507587819966465'],1601507587819966465,"RT @snowlea19: ホビ先輩も行ってた ""Salt &amp; Straw""🍨
▸https://t.co/VqRyWF4HXH
#andAUDITIONboys_Nicholas #andAUDITION https://t.co/MFzGxdqmpz",
57,['1601420093212065793'],1601420093212065793,Eating this honey lavender ice cream from salt &amp; straw feels like I’m eating shampoo but I’m still going to eat it,
58,['1601402301880897536'],1601402301880897536,"@Saralily24 Hazelnuts, marionberries, pears, apples, salmon. Voodoo Doughnuts, Salt &amp; Straw &amp; all the things Tillamook Creamery makes.",
59,['1601216375871225861'],1601216375871225861,"Salt &amp; Straw Tumbler - Salt &amp; Straw - Seattle #FoodSpot #Liquor #Drinks https://t.co/qmvMIbeIO4 . #FoodSpot is the go-to app for food discovery near you, featuring dish name, images, ingredients, description, reviews, etc. Available in Android &amp; iOS app stores.",
60,['1601169970339233792'],1601169970339233792,"""I know everyone in this room has had similar conversations within your organizations.""  https://t.co/tSa4QpwdtL",
61,['1601103369485004800'],1601103369485004800,"RT @PDXBIZJournal: ""I know everyone in this room has had similar conversations within your organizations.""  https://t.co/jwnFaWcSh6",
62,['1601071578967871490'],1601071578967871490,I love Salt &amp; Straw 🤍,
63,['1601007521069678594'],1601007521069678594,"""I know everyone in this room has had similar conversations within your organizations.""  https://t.co/jwnFaWcSh6",
64,['1600997295436476418'],1600997295436476418,Exclusive: Columbia Sportswear CEO praises Salt &amp; Straw for airing safety concerns https://t.co/JFcSjBEMtK,
65,['1600995075353620481'],1600995075353620481,"A @PDXBIZJournal exclusive today: Tim Boyle, @Columbia1938's CEO, praised @saltandstraw for calling attention to safety problems on the city's Central Eastside.
https://t.co/0GpibkfLPq",
66,['1600993633616162816'],1600993633616162816,Exclusive: Columbia Sportswear CEO praises Salt &amp; Straw for airing safety concerns: More business leaders have expressed willingness to leave Portland over concerns. https://t.co/72vlFIV41a,
67,['1600961454886510592'],1600961454886510592,"@Saralily24 Voodoo Donuts
Salt &amp; Straw ice cream",
68,['1600957852192907266'],1600957852192907266,@beyondalxander If only salt &amp; straw was in my future 🥱,
69,['1600893089593184256'],1600893089593184256,Omg I miss salt &amp; straw,
70,['1600856070276136965'],1600856070276136965,RT @FoodSpotSeattle: Cold Brew Coffee Cashew Praline - Salt &amp; Straw - Seattle #FoodSpot #Bakery #Desserts https://t.co/Z9Kueitjlu . #FoodSp…,
71,['1600853987401646085'],1600853987401646085,"Cold Brew Coffee Cashew Praline - Salt &amp; Straw - Seattle #FoodSpot #Bakery #Desserts https://t.co/Z9Kueitjlu . #FoodSpot is the go-to app for food discovery near you, featuring dish name, images, ingredients, description, reviews, etc. Available in Android &amp; iOS app stores.",
72,['1600730425659256832'],1600730425659256832,RT @jakexia27: what if people in SF are only obsessed with Salt &amp; Straw because it's the only place open after 9:00pm,
73,['1600720173090344962'],1600720173090344962,@anshelsag @AlaskaAir Wait... they're serving Salt &amp; Straw on planes now??? 🤯,
74,['1600715490992672768'],1600715490992672768,That’s the San Francisco I know: 9pm in December and a 20 person line at Salt &amp; Straw,
