,edit_history_tweet_ids,id,text
0,['1598494148826664960'],1598494148826664960,@ericspiegelman Bottega Louie
1,['1598420320964472832'],1598420320964472832,The only correct answer is Bottega Louie. They are the masters of mid!!! https://t.co/aeT0vphCrr
2,['1598411481946914817'],1598411481946914817,Bottega Louie - all vibes but nothing else https://t.co/XQP3vjBXny
3,['1598181933649113088'],1598181933649113088,@ericspiegelman Bottega Louie
4,['1596282923224662016'],1596282923224662016,"@yooo_sae Monarca Bakery, Tropicana (if you still want Cuban), 85 degree C bakery cafe,  Paris Baguette, Bottega Louie, Concerto Bakery, Amandine Patisserie Cafe"
